Linea,Tipo,Token
1,KEYWORD,package
1,IDENTIFIER,archivos
1,SEPARATOR,;
3,KEYWORD,public
3,KEYWORD,class
3,IDENTIFIER,Ejemplo2
3,SEPARATOR,{
5,KEYWORD,public
5,KEYWORD,class
5,IDENTIFIER,MiClase
5,SEPARATOR,{
7,KEYWORD,private
7,KEYWORD,int
7,IDENTIFIER,contador
7,SEPARATOR,;
8,KEYWORD,public
8,KEYWORD,int
8,IDENTIFIER,hex
8,OPERATOR,=
8,HEXADECIMALLIT,0xff
8,SEPARATOR,;
9,KEYWORD,public
9,KEYWORD,int
9,IDENTIFIER,oct
9,OPERATOR,=
9,OCTALLIT,077
9,SEPARATOR,;
10,KEYWORD,public
10,KEYWORD,int
10,IDENTIFIER,bin
10,OPERATOR,=
10,BINARYLIT,0b1100
10,SEPARATOR,;
11,KEYWORD,public
11,KEYWORD,int
11,IDENTIFIER,num
11,OPERATOR,=
11,INTEGERLIT,123123
11,SEPARATOR,;
12,KEYWORD,public
12,KEYWORD,void
12,IDENTIFIER,incrementar
12,SEPARATOR,(
12,SEPARATOR,)
12,SEPARATOR,{
13,IDENTIFIER,contador
13,OPERATOR,++
13,SEPARATOR,;
14,SEPARATOR,}
15,SEPARATOR,}
16,SEPARATOR,}
